weight,metal_content,organic_content,is_threat
9,65,0,1
11,40,18,0
9,24,28,0
21,65,17,1
7,99,53,1
25,13,100,0
8,66,94,1
21,63,99,1
7,11,11,0
11,86,59,1
10,21,79,0
11,44,98,0
13,48,7,0
10,85,62,1
12,75,2,1
12,92,49,1
5,44,56,0
22,95,11,1
22,80,40,1
24,2,61,0
20,31,5,0
14,51,55,0
24,95,70,1
10,88,65,1
11,66,89,1
20,39,61,0
25,70,50,1
9,56,26,0
24,64,43,1
23,74,74,1
6,49,17,0
12,50,2,0
15,14,71,0
9,22,100,0
12,65,68,1
18,65,65,1
20,70,61,1
7,30,93,0
5,3,1,0
23,91,32,1
15,16,32,0
25,99,49,1
18,47,51,1
6,93,59,1
25,55,82,1
23,11,88,0
11,93,85,1
11,26,22,0
19,30,5,0
24,30,27,0
13,82,40,1
11,96,58,1
22,55,52,1
13,12,98,0
17,77,55,1
7,99,55,1
19,18,48,0
19,44,29,1
17,54,19,1
10,66,69,1
23,22,63,0
10,71,21,1
19,61,67,1
9,96,87,1
16,90,68,1
18,8,62,0
21,79,63,1
8,18,98,0
11,23,48,0
23,66,47,1
7,77,57,1
23,60,49,1
22,12,75,0
13,33,45,0
9,79,65,1
7,71,11,1
19,10,46,0
12,4,47,0
13,82,28,1
21,89,13,1
22,40,46,0
15,66,96,1
20,96,97,1
23,96,47,1
23,98,39,1
22,48,83,1
18,29,11,0
15,46,57,0
21,47,15,1
10,24,17,0
24,9,42,0
10,98,74,1
8,61,56,1
24,20,96,0
10,46,74,0
9,72,29,1
12,33,46,0
23,25,57,0
22,63,54,1
8,60,76,0
18,40,46,0
8,21,69,0
20,13,89,0
6,8,45,0
22,97,52,1
20,15,74,0
22,21,47,0
12,93,3,1
10,100,19,1
16,27,33,0
25,83,87,1
5,75,58,1
8,4,30,0
16,24,37,0
24,76,30,1
6,18,98,0
9,2,33,0
20,78,69,1
21,44,46,1
24,24,6,0
17,54,95,1
22,51,87,1
21,94,68,1
6,46,3,0
18,52,2,1
18,73,66,1
15,63,25,1
17,33,60,0
16,33,13,0
15,73,92,1
23,80,36,1
12,25,61,0
14,56,30,0
6,90,88,1
18,0,15,0
22,33,97,0
15,73,54,1
6,26,61,0
21,67,25,1
17,74,48,1
8,42,42,0
20,92,31,1
23,27,41,0
10,83,92,1
20,51,94,1
18,9,32,0
9,95,54,1
13,24,88,0
9,11,2,0
10,74,59,1
18,90,30,1
25,17,88,0
11,44,35,0
13,67,24,1
18,53,0,1
25,77,38,1
19,5,59,0
9,73,76,1
24,55,91,1
12,36,100,0
14,47,55,0
5,76,15,1
8,14,66,0
13,11,53,0
22,0,3,0
14,90,8,1
9,38,26,0
12,82,70,1
18,57,15,1
6,20,23,0
23,97,71,1
8,45,48,0
8,37,66,0
15,5,93,0
19,1,94,0
9,8,67,0
10,63,52,1
22,52,58,1
5,91,74,1
12,57,33,0
11,95,56,1
17,29,53,0
13,27,1,0
18,18,46,0
24,39,77,0
20,91,34,1
15,58,75,0
16,99,49,1
23,17,67,0
6,63,55,1
6,31,92,0
16,60,10,1
5,69,39,1
14,57,66,0
14,41,13,0
24,80,33,1
20,9,0,0
17,44,92,1
24,1,40,0
10,98,92,1
15,28,70,0
23,29,41,0
8,44,17,0
17,86,32,1
24,26,93,0
19,87,100,1
6,87,17,1
8,48,22,0
23,9,66,0
5,99,5,1
13,3,31,0
15,78,22,1
7,85,52,1
15,39,26,0
10,27,48,0
13,55,39,0
23,16,58,0
10,52,79,0
8,34,43,0
25,63,91,1
12,52,79,0
20,10,13,0
13,53,76,0
13,65,76,1
23,99,13,1
11,98,6,1
15,90,79,1
13,30,93,0
12,34,43,0
19,32,5,0
12,78,36,1
6,34,30,0
17,23,79,0
22,70,72,1
18,44,58,1
19,1,94,0
21,88,74,1
10,83,23,1
24,31,40,0
15,37,57,0
12,80,26,1
19,78,89,1
19,41,87,1
24,75,4,1
19,2,6,0
25,12,65,0
17,67,64,1
25,83,40,1
11,60,85,0
21,6,80,0
23,66,91,1
24,5,85,0
5,77,71,1
12,97,39,1
18,44,80,1
10,24,78,0
12,17,54,0
8,87,23,1
16,8,30,0
22,87,88,1
6,37,87,0
21,57,97,1
12,20,50,0
12,99,75,1
23,67,98,1
9,12,48,0
11,44,91,0
10,41,54,0
22,4,56,0
11,37,52,0
18,88,72,1
19,19,79,0
23,20,11,0
11,57,84,0
15,16,45,0
13,42,72,0
18,67,23,1
9,29,30,0
6,68,47,1
5,85,35,1
13,59,97,0
10,62,17,1
16,52,84,1
16,10,74,0
25,26,100,0
20,40,73,0
24,57,72,1
13,69,92,1
11,11,95,0
17,95,10,1
9,87,3,1
24,82,76,1
8,34,96,0
23,7,41,0
9,74,59,1
8,82,89,1
12,94,38,1
22,26,24,0
14,5,49,0
18,62,74,1
15,77,68,1
8,10,90,0
12,22,38,0
19,3,27,0
25,38,33,0
7,81,64,1
19,80,1,1
22,39,55,0
16,24,7,0
12,6,25,0
24,95,84,1
14,50,20,0
9,72,87,1
20,71,17,1
14,14,27,0
16,74,59,1
20,77,17,1
17,30,83,0
9,96,65,1
11,96,100,1
19,42,84,1
12,86,0,1
24,26,8,0
22,59,32,1
25,2,97,0
23,53,79,1
11,17,39,0
23,69,67,1
20,21,55,0
20,98,52,1
17,65,5,1
5,7,89,0
9,49,4,0
7,46,28,0
21,96,58,1
24,75,33,1
9,67,66,1
11,93,86,1
14,78,43,1
14,72,25,1
5,91,51,1
18,29,58,0
24,71,98,1
18,80,10,1
23,24,50,0
16,45,36,1
8,38,92,0
15,77,5,1
6,30,92,0
21,88,64,1
9,12,3,0
22,57,87,1
9,24,37,0
11,32,25,0
11,18,79,0
22,69,12,1
7,90,54,1
23,90,78,1
20,67,72,1
7,89,69,1
18,3,97,0
9,85,16,1
7,43,52,0
10,29,97,0
12,17,62,0
6,64,96,1
22,30,59,0
15,93,72,1
8,93,86,1
9,86,95,1
21,87,45,1
18,81,44,1
24,68,44,1
20,100,6,1
24,76,68,1
12,78,6,1
11,1,78,0
22,75,89,1
13,59,65,0
16,30,76,0
16,91,7,1
25,20,100,0
21,45,15,1
6,57,21,0
24,90,26,1
18,100,94,1
6,11,35,0
15,58,89,0
22,63,30,1
5,12,1,0
24,88,88,1
13,73,45,1
10,55,60,0
15,0,46,0
5,46,1,0
19,94,84,1
17,18,79,0
6,68,97,1
23,33,91,0
16,86,39,1
23,13,37,0
6,14,47,0
12,10,21,0
15,73,30,1
24,100,94,1
18,15,4,0
8,89,31,1
6,79,22,1
14,42,83,0
15,90,44,1
16,23,94,0
17,69,30,1
18,38,54,0
5,2,57,0
7,72,91,1
13,93,96,1
23,98,95,1
17,65,64,1
23,73,83,1
18,19,72,0
23,17,33,0
10,51,75,0
7,58,89,0
7,100,94,1
16,51,54,1
19,19,64,0
9,8,43,0
20,10,0,0
14,23,95,0
6,7,4,0
7,31,96,0
6,53,86,0
25,47,27,1
7,40,61,0
11,82,22,1
6,0,4,0
15,80,100,1
12,50,70,0
24,54,31,1
11,4,48,0
16,57,4,1
16,70,35,1
25,40,81,0
6,28,66,0
12,88,19,1
20,83,22,1
6,4,19,0
6,73,19,1
8,24,59,0
20,12,66,0
8,8,72,0
20,100,59,1
16,3,90,0
22,70,85,1
18,94,72,1
14,60,72,0
11,99,95,1
24,2,49,0
19,17,2,0
7,31,48,0
8,18,76,0
23,77,98,1
14,8,93,0
9,7,27,0
21,52,82,1
7,21,46,0
12,88,64,1
20,78,80,1
14,95,100,1
17,0,60,0
25,72,39,1
23,39,96,0
22,26,13,0
16,71,96,1
13,0,21,0
21,70,58,1
22,7,66,0
16,87,42,1
25,61,33,1
20,47,52,1
25,16,12,0
6,37,43,0
14,42,11,0
10,74,68,1
13,1,89,0
18,35,53,0
22,37,42,0
20,96,3,1
12,81,93,1
10,49,78,0
18,47,59,1
21,48,87,1
22,11,69,0
17,17,94,0
20,98,53,1
12,0,5,0
10,51,96,0
18,39,22,0
23,61,92,1
5,41,45,0
21,12,97,0
9,70,19,1
14,10,12,0
16,78,37,1
7,25,86,0
22,52,30,1
19,5,14,0
24,20,29,0
24,23,44,0
22,69,13,1
5,100,72,1
6,27,83,0
22,43,58,1
25,74,11,1
14,58,34,0
22,48,55,1
25,90,83,1
16,63,95,1
19,19,76,0
19,87,65,1
23,32,73,0
23,35,76,0
17,27,53,0
16,3,81,0
9,67,71,1
23,25,26,0
10,32,80,0
13,33,90,0
18,43,59,1
14,66,19,1
18,63,26,1
13,56,66,0
6,42,35,0
12,60,24,0
14,59,64,0
18,100,57,1
24,2,17,0
24,75,32,1
6,28,2,0
8,67,72,1
7,7,43,0
14,85,66,1
17,75,58,1
6,48,89,0
23,26,32,0
19,30,27,0
5,44,72,0
13,74,29,1
19,32,56,0
18,29,98,0
10,21,46,0
15,38,21,0
25,91,52,1
6,100,74,1
25,10,19,0
8,100,34,1
13,7,5,0
10,23,42,0
24,34,2,0
16,80,12,1
5,58,18,0
17,5,8,0
9,42,7,0
22,2,17,0
23,32,14,0
10,24,56,0
9,10,42,0
7,68,2,1
6,11,80,0
18,70,29,1
18,38,92,0
6,56,47,0
12,10,82,0
16,86,47,1
24,2,87,0
16,83,38,1
18,10,65,0
14,68,67,1
7,89,20,1
9,81,92,1
5,87,90,1
6,62,29,1
12,75,66,1
22,58,39,1
12,58,17,0
15,83,20,1
21,90,46,1
24,21,14,0
9,24,65,0
18,19,18,0
12,60,39,0
6,49,71,0
6,10,99,0
20,8,59,0
25,70,71,1
5,22,40,0
13,68,17,1
7,40,80,0
23,74,53,1
14,28,88,0
17,14,24,0
21,79,82,1
15,53,24,0
13,80,43,1
19,10,74,0
12,11,27,0
5,58,93,0
10,45,69,0
10,70,15,1
11,30,73,0
6,35,64,0
17,49,6,1
10,3,17,0
12,51,89,0
12,62,98,1
19,56,67,1
13,28,3,0
6,22,47,0
7,6,74,0
23,35,80,0
22,24,81,0
12,44,24,0
7,49,53,0
14,68,20,1
8,32,79,0
25,1,51,0
17,71,91,1
9,95,95,1
13,11,9,0
10,79,14,1
18,5,22,0
23,42,73,1
14,21,89,0
7,91,80,1
25,68,12,1
19,7,22,0
9,55,76,0
8,80,96,1
7,17,29,0
21,19,62,0
22,90,88,1
12,58,40,0
17,4,67,0
25,31,92,0
16,83,92,1
19,23,12,0
20,31,2,0
12,76,97,1
23,39,95,0
23,90,36,1
11,79,89,1
8,23,19,0
9,53,69,0
18,10,16,0
15,61,10,1
18,12,78,0
10,80,64,1
13,77,95,1
19,81,12,1
7,26,20,0
5,83,39,1
14,53,80,0
7,19,2,0
21,100,31,1
23,8,96,0
23,63,67,1
13,96,18,1
6,24,80,0
18,69,40,1
17,86,32,1
16,11,5,0
13,17,60,0
7,76,95,1
15,69,26,1
21,13,55,0
5,94,62,1
22,13,57,0
12,32,17,0
12,68,48,1
12,32,92,0
8,15,37,0
16,99,28,1
8,18,55,0
21,1,8,0
20,35,12,0
6,88,87,1
21,59,39,1
21,84,93,1
12,1,9,0
10,36,20,0
19,44,52,1
10,44,48,0
21,72,97,1
6,94,64,1
20,8,96,0
9,88,88,1
16,15,49,0
14,65,14,1
6,40,68,0
7,50,23,0
23,75,87,1
9,39,88,0
6,48,60,0
7,6,62,0
18,67,73,1
15,94,40,1
15,9,40,0
5,63,66,1
21,28,92,0
24,72,71,1
18,15,59,0
14,90,50,1
10,49,70,0
25,94,47,1
23,0,50,0
17,51,35,1
25,39,16,0
20,84,70,1
7,98,14,1
15,36,79,0
19,89,94,1
15,38,98,0
17,1,75,0
5,40,65,0
9,75,87,1
5,96,50,1
16,43,88,1
18,45,70,1
21,21,25,0
21,67,18,1
11,42,55,0
24,21,77,0
22,78,87,1
20,8,97,0
21,51,69,1
13,3,15,0
7,82,80,1
20,72,21,1
17,3,28,0
16,48,22,1
19,6,97,0
6,74,1,1
23,7,66,0
21,55,3,1
19,3,67,0
8,62,54,1
19,66,13,1
22,35,36,0
24,77,46,1
8,91,95,1
23,66,91,1
19,23,93,0
11,98,95,1
23,10,52,0
11,64,84,1
